"ID";"cf_name";"cf_place_name";"cf_custom_place_name";"cf_custom_x_coordinate";"cf_custom_y_coordinate";"cf_custom_region_vague";"cf_excavation_name";"cf_excavation";"cf_excavation_start";"cf_excavation_end";"cf_single_find";"cf_hoard";"cf_start_year";"cf_end_year";"cf_vague";"cf_num_coins_found";"cf_id_relevant_coins";"cf_publication_ref";"cf_user";"cf_comment";"cf_date_entered";"Region";"Tag_ID";"Dataset_IDs"
259;"Tesoro de la Capilla";256058;"Carmo";37,46980128;-5,6460181;0;"Tesoro de la Capilla";0;1891;1891;0;1;586;636;0;1000;;"Pliego Vázquez, Ruth. La moneda visigoda I. Sevilla: Secretariado de Publicaciones, Universidad de Sevilla, 2009. 234-241, no. 1.6";"ruthpliego@gmail.com";"A total of 765 coins have been identified among more than 1000";"1/1/2016";"Spain";;1
260;"Tesoro de la Grassa";0;"Constantí";41,153546;1,212596;0;"Tesoro de la Grassa";0;1816;;0;1;586;653;0;0;;"Pliego, R. 2009. La moneda visigoda. Sevilla.";"ruthpliego@gmail.com";"Only a total of 175 have been identified.";"1/1/2016";"Spain";;1
269;"Tesoro de Zaragoza";246344;"Col. Caesaraugusta";41,66490272;-0,8845117;0;"Tesoro de Zaragoza";0;1794;;0;1;649;702;0;35;;"Pliego, R. 2009. La moneda visigoda. Sevilla.";"ruthpliego@gmail.com";"From the 35 coins only 22 where identified.";"1/1/2016";"Spain";;1
270;"Tesoro de Toledo";266066;"Toletum";39,85668;-4,024491;0;"Tesoro de Toledo";0;1957;;0;1;680;702;0;8;;" Pliego, R. 2009. La moneda visigoda. Sevilla.";"ruthpliego@gmail.com";;"1/1/2016";"Spain";;1
271;"Tesoro de Fuentes de Andalucia";0;"Fuentes de Andalucia";37,463298;-5,344063;0;"Tesoro de Fuentes de Andalucia";0;;;0;1;586;631;0;4000;;"Pliego, R. 2009. La moneda visigoda. Sevilla, t. I, p. 255-257";"ruthpliego@gmail.com";"From the c.4000 coins only 44 have been identified.";"1/1/2016";"Spain";;1
334;"Tesoro de Palencia";0;"Around Palencia";42,009686;-4,528802;1;"Tesoro de Palencia";0;;;0;1;307;408;0;242;"7-242";"Lión Bustillo, Maria Cristina. ""Un tesorillo de bronces del siglo IV procedente de Palencia."" Boletín del Seminario de Estudios de Arte y Arqueología 50 (1984): 113-56.";"ruthpliego@gmail.com";"No information provided concerning circumstances of the find's discovery. Therefore, the year of the original publication has been provided for the reader's orientation. ";"1/1/2016";"Spain";;1
447;"La Vega Baja Hoard";266066;"Toletum";39,85668;-4,024491;0;"La Vega Baja de Toledo";0;2006;2006;0;1;612;639;0;30;;"Pliego, R. 2012. La moneda visigoda: Annexo I, SPAL 21: 209-233";"ruthpliego@gmail.com";;"3/8/2016";"Spain";;1
448;"La Vega Baja";266066;"Toletum";39,85668;-4,024491;0;"La Vega Baja de Toledo";1;;;0;0;569;687;0;5;;"Pliego, R. 2012. La moneda visigoda: Annexo I, SPAL 21: 209-233";"ruthpliego@gmail.com";;"3/8/2016";"Spain";;1
449;"Recopolis";0;"Zorita de los Canes";40,331902;-2,889203;0;"Recopolis";1;2008;;0;0;569;586;0;1;;"Pliego, R. 2012. La moneda visigoda: Annexo I, SPAL 21: 209-233, nº 52.";"ruthpliego@gmail.com";;"3/8/2016";"Spain";;1
450;"Aquae Flaviae";236334;"Aquae Flaviae";41,74035;-7,4700075;0;"Rua do Bispo Idácio";1;2008;;0;0;687;702;0;1;;"Guedes, C. (2008-2009): ""Um triente de Égica em Aquae Flaviae"" Portvgalia, Nova Série XXIXXXX:
169-177; Pliego, R. 2012. La moneda visigoda: Annexo I, SPAL 21: 209-233, nº 705.";"ruthpliego@gmail.com";;"3/8/2016";"Portugal";;1
467;"La Hermida Hoard";0;"Carretera de La Hermida a Potes (Cantabria)";43,255028;-4,614371;1;"Hermida-Potes Road";0;1910;1910;0;1;565;586;0;15;;"JUSUÉ, E. (1910) ""Monedas de oro de la época visigótica halladas en la provincia de Santander"", Boletín de la Real Academia de la Historia LVII, 482-487; BARRAL I ALTET, X. (1976) ""A propósito de un tesoro de monedas visigodas hallado en La Her";"ruthpliego@gmail.com";"The date is vague: ""around 15 coins""";"3/14/2016";"Spain";;1
468;"El Saucedo, Talavera de la Reina";265834;"Caesarobriga";39,95945;-4,834583;0;;0;;;1;0;569;569;0;1;;"R. Pliego. 2009. La moneda visigoda, Sevilla, nº 52 a.1";"ruthpliego@gmail.com";"""En una finca de Saucedo ... con mosaicos y cerámicas varias ... se han encontrado restos romanos ... y un centenar de monedas visigodas
y romanas"".";"3/14/2016";"Spain";;1
469;"Solsona";0;"Solsona";41,993336;1,515464;0;;0;;;1;0;586;601;0;1;;"MATEU Y LLOPIS, F. (1944) ""Hallazgos monetarios III, Rectificación de la lectura de una moneda visigoda. Sobre los límites de la conquista visigoda en Vasconia y Cantabria. Descripción de los hallazgos"", Ampurias VI, 221-229.";"ruthpliego@gmail.com";;"3/14/2016";"Spain";;1
482;"Calle Catedrático Soler";0;"Alicante";38,345996;-0,490686;0;"Calle Catedrático Soler";1;;;0;0;523;565;0;17;;"Marot, T. 1997. Aproximación a la circulación monetaria en la península ibérica y las islas baleares durante los siglos V y VI : la incidencia de las emisiones vándalas y byzantinas, Revue numismatique, 6e série - Tome 152, 157-190.";"ruthpliego@gmail.com";;"3/22/2016";"Spain";;1
485;"Tesoro de Galiana";0;"Fuenmayor";42,466778;-2,562567;0;"Tesoro de Galiana";1;1984;1984;0;1;54;423;1;854;"9-778 + 76 illegible coins";"Rodríguez Martínez, Pilar. ""El Tesorillo de Galiana. Composición y Catálogo."" In Aproximación a la economía de fines del siglo IV y principios del siglo v en La Rioja: el tesorillo de Galiana, 36-71.  La Rioja: Instituto de Estudios Riojanos, 1992.";"ruthpliego@gmail.com";;"3/25/2016";"Spain";;1
542;"Alcúdia";265922;"Ilici/Helike/Ecclesia Elotana";38,2396;-0,6953;0;;0;;;1;0;527;565;0;2;;"See Marot, T. ""Aproximación a la circulación monetaria en la península ibérica y las islas baleares durante los siglos V y VI: la incidencia de las emisiones vándalas y bizantinas."" Revue numismatique 6, 152 (1997): 157-190, p. 183, nº 5.";"ruthpliego@gmail.com";"Also found ""a handful of byzantine coins"" to the south of the La Alcudia hill (A. Ramos Folqués, Hallazgos monetarios en Elche, Numario Hispanico VIII, n. 15-16, 1959, p. 133-149, p. 149.";"6/5/2017";"Spain";;1
543;"Tesoro de Alcàsser";;"La Senda de l'Horteta";39,366123;-0,4494414;;"La Senda de l'Horteta";0;;;0;1;569;586;1;;;"Alapont, L. y Tormo F., 2006, La necrópolis i les troballes monetàries del jaciment visigòtic de 'La Senda de l´Horteta' en Alcàsser (València), en VI Reunió d´Arqueologia Cristiana Hispánica (Valencia 2003), Valencia.";"ruthpliego@gmail.com";"Only recently this necropolis has been excavated, but we have news about discovers of coins in this site since 70's ";"6/6/2017";"Spain";;1
544;"Caldes de Malavella";;"Puig de les Animes";41,8358025;2,807864;;;0;;;0;0;527;578;0;2;;"Marot, T. 1997. ""Aproximación a la circulación monetaria en la península ibérica y las islas baleares durante los siglos V y VI : la incidencia de las emisiones vándalas y bizantinas"", Revue numismatique 152, 157-190, p. 183, nº 9.";"ruthpliego@gmail.com";;"6/6/2017";"Spain";;1
545;"Palacio de Clunia";;"Clunia";41,7891838;-3,365974;;"Gran Palacio de Clunia";0;1932;1935;0;0;602;610;0;1;;"Taracena, B. ""El palacio romano de Clunia"", Archivo Español de Arqueología, Jan 1, 1946, 19, 62, 29-69, p. 67.";"ruthpliego@gmail.com";;"6/6/2017";"Spain";;1
546;"Ampurias";246382;"Emporiae";42,13342;3,1145495;0;"Empúries";0;1908;2017;0;0;428;625;0;3;;"M. Campo; M. C Mané, Hallazgos monetarios médiévales y modernos en Empúries, Gaceta Numismàtica 81, 1986, p. 67-83.";"ruthpliego@gmail.com";;"6/6/2017";"Spain";;1
547;"Guadix";265765;"Acci/Col. Iulia Gemella";37,300309;-3,134636;0;;0;;;1;0;610;641;0;;;"P.A. Barceló, Un hallazgo casual de monedas romanas en Acci (Guadix), Sagvntvm 19, 1985, p. 311-317.";"ruthpliego@gmail.com";"Coin without a given archaeological context.";"6/6/2017";"Spain";;1
548;"El Grau Vell";266020;"Sagunto";39,680194;-0,278581;0;"El Grau Vell";0;;;1;0;435;534;0;1;;"C. Aranegui, La circulation monetaria en el Grau Veil de Sagunt (Valencia), Numisma 160-165, 1980, p. 59-86.";"ruthpliego@gmail.com";"In the excavation in port facilities";"6/8/2017";"Spain";;1
549;"Mérida";256155;"Emerita Augusta";38,9160965;-6,34010067;0;;0;;;0;0;565;578;0;1;;"F. Mateu y Llopis, La moneda bizantina en España, Crónica del III Congreso Arqueológico del Sudeste
Español, Murcia 1947, p. 319.";"ruthpliego@gmail.com";"Coin without a given archaeological context";"6/8/2017";"Spain";;1
550;"Pamplona";;;42,8125211;-1,6457745;;;0;;;1;0;527;565;0;1;;"F. Mateu y Llopis, Hallazgos Monetarios III, Ampurias VI, 1944, 221.";"ruthpliego@gmail.com";;"6/8/2017";"Spain";;1
551;"Talavera la Vieja";256001;"Augustobriga";39,807245;-5,481787;0;"Augustobriga";0;;;0;0;527;565;0;1;;"Marot, T. 1997. ""Aproximación a la circulación monetaria en la península ibérica y las islas baleares durante los siglos V y VI : la incidencia de las emisiones vándalas y bizantinas"", Revue numismatique 152, 157-190, p. 187, nº 41.";"ruthpliego@gmail.com";;"6/8/2017";"Spain";;1
552;"Tarragona";;;41,1188827;1,2444909;;"Amphitheatre";0;;;0;0;527;565;0;1;;"Marot, T. 1997. ""Aproximación a la circulación monetaria en la península ibérica y las islas baleares durante los siglos V y VI : la incidencia de las emisiones vándalas y bizantinas"", Revue numismatique 152, 157-190, p. 187, nº 42.";"ruthpliego@gmail.com";;"6/8/2017";"Spain";;1
553;"Valencia";266090;"Valentia";39,470371;-0,376813;0;;0;;;0;0;489;565;0;6;;"Marot, T. 1997. ""Aproximación a la circulación monetaria en la península ibérica y las islas baleares durante los siglos V y VI : la incidencia de las emisiones vándalas y bizantinas"", Revue numismatique 152, 157-190, 187, nº 43.";"ruthpliego@gmail.com";;"6/8/2017";"Spain";;1
554;"Valencia - Calle Baró de Petrés";266090;"Valentia";39,470371;-0,376813;0;"Calle Baró de Petrés";0;;;0;0;434;625;0;80;;"Marot, T. 1997. ""Aproximación a la circulación monetaria en la península ibérica y las islas baleares durante los siglos V y VI : la incidencia de las emisiones vándalas y bizantinas"", Revue numismatique 152, 157-190, 187, nº 43.";"ruthpliego@gmail.com";;"6/8/2017";"Spain";;1
555;"Valencia - Calle del Mar";266090;"Valentia";39,470371;-0,376813;0;"Calle del Mar";0;;;0;0;434;565;0;2;;"Marot, T. 1997. ""Aproximación a la circulación monetaria en la península ibérica y las islas baleares durante los siglos V y VI : la incidencia de las emisiones vándalas y bizantinas"", Revue numismatique 152, 157-190, p. 187, nº 43.";"ruthpliego@gmail.com";;"6/9/2017";"Spain";;1
556;"Baria";265820;"Baria";37,245407;-1,774899;0;"Villaricos/Herrerías";1;;;0;0;325;534;0;66;;"L. SlRET, Villaricos y Herrerías. Antiguedades púnicas, romanas, visigodas y arabes, Memorias de la Real Academia de la Historia XIV, 1909, p. 381-478, p. 408.";"ruthpliego@gmail.com";;"6/9/2017";"Spain";;1
557;"Tesoro de Recopolis";;"Racopel";40,3239729;-2,8876436;;"Zorita de los Canes";0;1944;1945;0;0;527;578;0;90;;"J. Cabré, El tesorillo visigodo de trientes de las excavaciones del plan nacionál de 1944-45 en Zorita de los Canes (Guadalajara), Comisaría General de Excavaciones Arqueológicas. Informes y Memorias n. 10, Madrid 1946.";"ruthpliego@gmail.com";;"6/9/2017";"Spain";;1
558;"Tesoro de Sevilla";256210;"Hispalis/Col. Romula";37,382668;-5,996293;0;"Calle Cuna, Sevilla";0;1972;1972;0;1;395;565;0;77;;"Pliego, Ruth. ""A Hoard of Late Roman and Visigothic Gold."" The Numismatic Chronicle 176 (2016): 377-386, pl. 52-55. ";"ruthpliego@gmail.com";;"6/9/2017";"Spain";;1
559;"Cap des Port";;;40,0571447;4,1302671;;"Basilica paleocristiana de Cap des Port";0;0;;0;0;434;565;1;5;;"J.M. Gurt y T. Marot, Estudi dels models de circulació monetària a les Balears : « Pollentia » (Alcúdia, Ma-_x000D_
Uorca), /// Reunió d'Arqueologia Cristiana Hispànica, Barcelona 1994, p. 223-233.";"ruthpliego@gmail.com";;"6/9/2017";"Spain";;1
560;"Pollentia (Pollentia (Amorós' Archaeological excavations)";266004;"Pollentia";39,877769;3,01723;0;"Pollentia: D. Luis R. Amorós Archaeological Excavations";0;;1963;0;0;434;620;0;47;;"Marot, T. 1997. ""Aproximación a la circulación monetaria en la península ibérica y las islas baleares durante los siglos V y VI : la incidencia de las emisiones vándalas y bizantinas"", Revue numismatique 152, 157-190, p. 189, nº 51.";"ruthpliego@gmail.com";;"6/9/2017";"Spain";;1
561;"Alcalá del Río";256222;"Ilipa Magna";37,518215;-5,978254;0;;0;;;0;0;518;565;0;5;;"M. Crusafont, El sistema monetario visigodo : cobre y oro, Barcelona-Madrid 1994.";"ruthpliego@gmail.com";;"6/12/2017";"Spain";;1
562;"Coria del Río";256086;"Caura";37,285041;-6,05183;0;;0;;;0;0;484;565;0;;;"M. Crusafont, El sistema monetario visigodo : cobre y oro, Barcelona-Madrid 1994.";"ruthpliego@gmail.com";;"6/13/2017";"Spain";;1
563;"Selva, Mallorca";;;39,770158;2,9076094;;;0;;;1;0;602;610;0;1;;"F. Mateu y Llopis, ""Hallazgos monetarios IX, Numario Hispânico II,
n. 4, 1953, p. 275-302, p. 282, n. 666.";"ruthpliego@gmail.com";;"6/13/2017";"Spain";;1
564;"Sant Cristófol, Es Mercadal, Menorca";;;39,9459698;4,0496651;;;0;;;0;0;518;602;0;3;;"F. Mateu y Llopis, Hallazgos monetarios XII, Numario Hispânico IV, n. 7, 1955, p. 119-146, p. 135, n. 768.";"ruthpliego@gmail.com";;"6/13/2017";"Spain";;1
565;"Ses Salines de Santanyí, Mallorca";;;39,341242;3,1177555;;;0;;;0;0;;;0;;;"F. Mateu y Llopis, ""Hallazgos monetarios IX, Numario Hispânico II, n. 4, 1953, p. 275-302, p. 282, n. 665";"ruthpliego@gmail.com";"« Fueron halladas numerosas monedas bizantinas ». Coins without a given archaeological context";"6/13/2017";"Spain";;1
566;"Pollentia (Archaeological excavations 1957-1963)";266004;"Pollentia";39,877769;3,01723;0;"Pollentia: Archaeological excavations 1957-1963";1;1957;1963;0;0;395;725;0;23;;"Marot, T. 1997. ""Aproximación a la circulación monetaria en la península ibérica y las islas baleares durante los siglos V y VI : la incidencia de las emisiones vándalas y bizantinas"", Revue numismatique 152, 157-190, p. 189, nº 51.";"ruthpliego@gmail.com";;"6/19/2017";"Spain";;1
567;"Mallorca (without known archaeological findspot)";;;39,6952629;3,0175712;;;0;;;0;0;565;578;0;;;"Marot, T. 1997. ""Aproximación a la circulación monetaria en la península ibérica y las islas baleares durante los siglos V y VI : la incidencia de las emisiones vándalas y bizantinas"", Revue numismatique 152, 157-190, p. 189, nº 55.";"ruthpliego@gmail.com";;"6/19/2017";"Spain";;1
568;"Menorca (Marot 1997, n. 56)";0;"Menorca, es Migjorn Gran, Spain";39,949401;4,0593888;2;"Menorca hoard";0;1819;1819;0;1;498;685;1;25;;"Marot, Teresa. ""Aproximación a la circulación monetaria en la península ibérica y las islas baleares durante los siglos V y VI : la incidencia de las emisiones vándalas y bizantinas."" Revue numismatique 152 (1997:) 157-190.";"ruthpliego@gmail.com";"No information given concerning circumstances of the find's discovery or concerning the exact quantity of the coins found. Very vague descriptions. ";"6/19/2017";"Spain";;1
569;"Lugo (with unknown findspot)";;;43,0097384;-7,5567582;;;0;;;0;0;584;725;0;;;"F. Mateu y Llopis, ""Ibid., Hallazgos monetarios VI, Ampurias XIII, 1951,
p. 203-255 (p. 235 n. 419)";"ruthpliego@gmail.com";"Marot, T. 1997. ""Aproximación a la circulación monetaria en la península ibérica y las islas baleares durante los siglos V y VI : la incidencia de las emisiones vándalas y bizantinas"", Revue numismatique 152, 157-190, p. 185, note 74: ""Las escasas especificaciones sobre este hallazgo nos hace desconfiar sobre su veracidad. Sin embargo, hemos considerado incluir la noticia"". ";"6/19/2017";"Spain";;1
570;"Mazarrón";;;37,5958308;-1,3147688;;"Necrópolis de Mazarrón";1;;;0;0;395;725;0;;;"Marot, T. 1997. ""Aproximación a la circulación monetaria en la península ibérica y las islas baleares durante los siglos V y VI : la incidencia de las emisiones vándalas y bizantinas"", Revue numismatique 152, 157-190, p. 185, nº 25 ";"ruthpliego@gmail.com";;"6/19/2017";"Spain";;1
571;"Santander";;;43,4623057;-3,8099803;;;0;1910;;0;0;568;586;0;2;;"R. Pliego. 2009. La moneda visigoda, Sevilla, nº 1a.3 and 9f.1";"ruthpliego@gmail.com";;"6/21/2017";"Spain";;1
572;"Montpeó";;;41,6838422;1,2794744;;;0;1920;;1;0;586;601;0;1;;"R. Pliego. 2009. La moneda visigoda, Sevilla, nº 80 c.1";"ruthpliego@gmail.com";;"6/21/2017";"Spain";;1
573;"La Grassa Hoard";;;41,164264;1,1833043;;"Tesoro de la Grassa";0;1816;;0;1;586;672;0;175;;"R. Pliego. 2009. La moneda visigoda, Sevilla, . I, pp. 241-245.";"ruthpliego@gmail.com";;"6/21/2017";"Spain";;1
574;"Calpe";;;38,6436469;0,0456876;;"Baños de la Reina";1;2007;2007;0;0;118;580;1;152;"8-152";"Abascal Palazón, J. M., & Alberola Belda, A. (2010) ""Hallazgos monetarios en Calpe (2ª serie)"", Lucentum XXIX, 163-186.";"ruthpliego@gmail.com";"Archaeological Prospection";"6/27/2017";"Spain";;1
1323;"Rio de Loba";;"Rio de Loba";40,6646716;-7,8778339;;"Rio de Loba";0;;;1;0;586;1945;0;1;;"R. Pliego (2009) La moneda visigoda, II, nº 91 d.3";"ruthpliego@gmail.com";;"11/17/2017";"Portugal";;1
1324;"Castro de Esturãos";;;41,787778;-8,650278;;;0;;;1;0;586;1946;0;1;;"R. Pliego (2009) La moneda visigoda, II, nº 94.2 = Barral 1976, 71";"ruthpliego@gmail.com";"Trouvé dans une zone proche d'une nécropole suève.";"11/17/2017";"Portugal";;1
1325;"El Saucedo, Talavera de la Reina";265834;"Caesarobriga";39,95945;-4,834583;0;"El Saucedo";1;;;0;0;586;601;1;1;;"R. Pliego (2009) La moneda visigoda, II, nº 98 b.84";"ruthpliego@gmail.com";"Conserved Museo de los Concilios de Toledo";"11/17/2017";"Spain";;1
1326;"San Cibrián das Lás, Orense";;;42,3604241;-8,0320037;;;0;;;1;0;586;1948;0;1;;"R. Pliego (2009) La moneda visigoda, II, nº 101 e.2";"ruthpliego@gmail.com";;"11/17/2017";"Spain";;1
1327;"Nisa (Portugal)";0;"Nisa, Portalegre, Portugal";39,5204986;-7,6947291;0;"Nisa single find";0;1974;1977;1;0;586;601;0;1;;"Pliego, Ruth. La Moneda Visigoda II. Sevilla: Secretariado de Publicaciones, Universidad de Sevilla, 2009. 103, n. 111(b)";"ruthpliego@gmail.com";"No information given concerning circumstances of the find's discovery. Therefore, the year of the original publication has been provided for the reader's orientation. ";"11/17/2017";"Portugal";;1
1328;"El Raso (Candeleda, Ávila)";;;40,1700414;-5,339664;;"El Raso, Candeleda";0;;;1;0;586;1976;1;;;"R. Pliego (2009) La moneda visigoda, II, nº 112 a.18";"ruthpliego@gmail.com";;"11/17/2017";"Spain";;1
1329;"Villaviciosa de Córdoba";;;38,0765607;-5,0169458;;"Villaviciosa de Córdoba";0;;;1;0;586;601;0;1;;"R. Pliego (2009) La moneda visigoda, II, nº 112 a.24";"ruthpliego@gmail.com";;"11/17/2017";"Spain";;1
1330;"Bañolas (Gerona)";;;42,1189331;2,7730027;;;0;;;1;0;586;1935;0;1;;"R. Pliego (2009) La moneda visigoda, II, nº 114 g.20";"ruthpliego@gmail.com";;"11/17/2017";"Spain";;1
1331;"Demoura (Guarda, Portugal)";;;40,5542;-7,225;;;0;;;1;0;586;1940;0;1;;"R. Pliego (2009) La moneda visigoda, II, nº 122 a.1";"ruthpliego@gmail.com";;"11/17/2017";"Portugal";;1
1332;"Lousã (c. Castelo Branco, Portugal)";;;40,1004146;-8,2355043;;;0;;;1;0;586;1940;0;1;;"R. Pliego (2009) La moneda visigoda, II, nº 122 b.1";"ruthpliego@gmail.com";;"11/17/2017";"Portugal";;1
1333;"Villar de Los Barrios (Ponferrada, León)";;;42,5089181;-6,5523187;;;0;;;1;0;586;1952;0;1;;"R. Pliego (2009) La moneda visigoda, II, nº 143.1";"ruthpliego@gmail.com";;"11/17/2017";"Spain";;1
9208;"Les Tres Cales Excavated Hoard";;"Les Tres Cales";40,91014838;0,80965989;0;"Les Tres Cales";1;2014;2015;0;1;527;565;0;11;;"MIQUEL DE CRUSAFONT, JAUME BENAGES
and JAUME NOGUERA, ""Silver Visigothic Coinage,"" NC 176, 2016, pp. 241-260 pl. 28-29";"sancinitoj@gmail.com";;"8/23/2019";"Spain";;1
11181;"Hanibalian hoard from Viminacium, Moesia I";207549;"Viminacium";42,329158;-4,803655;0;"Hanibalian hoard";1;2003;2003;0;1;330;340;0;5;;"Vojvoda, Mirjana, and Sasha Redžić. “Redak nalaz novca Hanibalijana iz jedne grobne celine na Viminacijumu. = A rare hoard of Hanibalian’s coin from a grave in Viminacium.” Numizmatičar 37 (2019): 261-268";"ipelle@princeton.edu";;"5/25/2021";"Spain";;1
11419;"Contrada Campo Adriano, Oria";265990;"Oretum";38,7606439;-3,7256823;0;;0;;;1;0;-200;473;0;24;"19-24";"A. TRAVAGLINI, Inventario dei rinvenimenti monetali del Salento. Problemi di circolazione, Roma (G. Bretschneider Editore) 1982";"adriana.travaglini@unisalento.it";;"6/1/2021";"Spain";;1
13425;"Los Mondragones (Granada) villa excavation";;;37,191977;-3,611476;0;;1;2013;2013;0;0;117;395;0;8;"IBR-DY-1";"Pérez Tovar 2016";"DavidYoon";;"4/21/2022";"Spain";;1
13426;"Algeciras";;;36,1275;-5,453889;2;;0;;;1;0;704;712;0;1;"IBR-DY-2";"Gaillard 1854";"DavidYoon";;"4/21/2022";"Spain";;1
13427;"Banyoles";;;42,119444;2,766389;0;;0;1955;1955;1;0;711;718;0;1;"IBR-DY-3";"Mateu y Llopis 1956";"DavidYoon";;"4/21/2022";"Spain";;1
13428;"Cádiz";;;36,535;-6,2975;2;;0;;;1;0;699;699;0;1;"IBR-DY-4";"Gaillard 1854";"DavidYoon";;"4/21/2022";"Spain";;1
13429;"Cádiz";;;36,535;-6,2975;2;;0;;;1;0;708;712;0;1;"IBR-DY-5";"Gaillard 1854";"DavidYoon";;"4/21/2022";"Spain";;1
13430;"Cádiz";;;36,535;-6,2975;2;;0;;;1;0;716;716;0;1;"IBR-DY-6";"Gaillard 1854";"DavidYoon";;"4/21/2022";"Spain";;1
13431;"Carmona";;;37,466667;-5,633333;2;;0;;;1;0;711;714;0;1;"IBR-DY-7";"Gaillard 1854";"DavidYoon";;"4/21/2022";"Spain";;1
13432;"Carteya";;;36,185524;-5,408301;1;;0;1940;1940;1;0;717;717;0;1;"IBR-DY-8";"Balaguer 1976";"DavidYoon";;"4/21/2022";"Spain";;1
13433;"near Córdoba";;;37,884507;-4,779568;2;;0;;;1;0;712;712;0;1;"IBR-DY-9";"Gaillard 1854 no. 873";"DavidYoon";;"4/21/2022";"Spain";;1
13434;"Córdoba";;;37,884507;-4,779568;2;;0;;;1;0;711;714;0;2;"IBR-DY-10";"Balaguer 1976";"DavidYoon";;"4/21/2022";"Spain";;1
